"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2021.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.19312780838420157
2021.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.13311389083217223
2021.0,[72] Besi dan baja,0.1040727672307736
2021.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.05415352322914242
2021.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.034242551509517764
2021.0,[38] Aneka produk kimia,0.032113359817441296
2021.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.028508764144825924
2021.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.02828901857758839
2021.0,[40] Karet dan barang daripadanya,0.027178325031454915
2021.0,"[26] Bijih logam, terak, dan abu",0.025612204781830204
