"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2016.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.21396618976023507
2016.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.15775778643386199
2016.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.047388225582796206
2016.0,[40] Karet dan barang daripadanya,0.04110405747964158
2016.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.03396677550864265
2016.0,"[26] Bijih logam, terak, dan abu",0.03181666797553753
2016.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.030675043369075162
2016.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.030422705284695557
2016.0,"[62] Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",0.02715167417521135
2016.0,[44] Kayu dan barang dari kayu; arang kayu,0.024081005547079523
