"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2017.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.23627837064586396
2017.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.12959156507200237
2017.0,"[26] Bijih logam, terak, dan abu",0.05078215299589781
2017.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.04259786620447198
2017.0,[72] Besi dan baja,0.035205267310990995
2017.0,[40] Karet dan barang daripadanya,0.034865919264499834
2017.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.032491887085447306
2017.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.02929188752461306
2017.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.028334917361868026
2017.0,"[62] Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",0.02480286328321243
