"tahun","kode_hs_deskripsi","total_berat_ekpor"
2018.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.7649945324639933
2018.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.05707104211624338
2018.0,"[26] Bijih logam, terak, dan abu",0.05587207615916507
2018.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.02814758510425359
2018.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.009793890507776404
2018.0,[38] Aneka produk kimia,0.008790236859057915
2018.0,[44] Kayu dan barang dari kayu; arang kayu,0.007861184996309008
2018.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.00740269960727264
2018.0,[72] Besi dan baja,0.0070811895807649725
2018.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.005580675817499551
