"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2014.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.2646061357633643
2014.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.11797375658311436
2014.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.056110068346784794
2014.0,[40] Karet dan barang daripadanya,0.03481378499236558
2014.0,"[71] Mutiara alam, mutiara budidaya, batu mulia atau semi mulia, logam mulia, logam mulia kerajang, perhiasan imitasi, koin",0.032907193041203354
2014.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.03286128555941721
2014.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.032142629221014046
2014.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.0277195245072254
2014.0,"[62] Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",0.026590430956928594
2014.0,[44] Kayu dan barang dari kayu; arang kayu,0.02396684243712232
