"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2019.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.20047571155692473
2019.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.14299343747600943
2019.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.04800620878455694
2019.0,[72] Besi dan baja,0.04319555265599478
2019.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.03965115469689877
2019.0,[40] Karet dan barang daripadanya,0.03205970368469251
2019.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.03135018272364737
2019.0,"[62] Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",0.028975973666609065
2019.0,"[26] Bijih logam, terak, dan abu",0.026776765150443197
2019.0,"[71] Mutiara alam, mutiara budidaya, batu mulia atau semi mulia, logam mulia, logam mulia kerajang, perhiasan imitasi, koin",0.02623585688905394
