"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2015.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.20773773508343268
2015.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.13626802412249545
2015.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.0563189448240037
2015.0,"[26] Bijih logam, terak, dan abu",0.040461942665782714
2015.0,[40] Karet dan barang daripadanya,0.03704350631490825
2015.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.03443802042791082
2015.0,"[62] Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",0.03259520814381878
2015.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.032054050955797594
2015.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.029715376349157774
2015.0,[44] Kayu dan barang dari kayu; arang kayu,0.02827668369279299
