"tahun","kode_hs_deskripsi","total_berat_ekpor"
2019.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.718546520833452
2019.0,"[26] Bijih logam, terak, dan abu",0.09675947081734487
2019.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.060898270460184076
2019.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.017691422623451972
2019.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.01185558275116814
2019.0,[72] Besi dan baja,0.009436530796043717
2019.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.008737584489696876
2019.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.008587538936621848
2019.0,[38] Aneka produk kimia,0.00777402340681608
2019.0,[44] Kayu dan barang dari kayu; arang kayu,0.007661227814985581
