"tahun","kode_hs_deskripsi","total_berat_ekpor"
2022.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.808682974417019
2022.0,"[26] Bijih logam, terak, dan abu",0.038768788604712355
2022.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.02761369874249245
2022.0,[72] Besi dan baja,0.02375754513121602
2022.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.010043071450548186
2022.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.007983331714961371
2022.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.007914220122775982
2022.0,[38] Aneka produk kimia,0.007869066409806913
2022.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.007797273470981333
2022.0,[44] Kayu dan barang dari kayu; arang kayu,0.007490111548190063
