"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2022.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.29527406682564233
2022.0,[72] Besi dan baja,0.12686416448330642
2022.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.04985860672550513
2022.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.039258868801286644
2022.0,"[26] Bijih logam, terak, dan abu",0.03437158611919866
2022.0,[38] Aneka produk kimia,0.03425651903190539
2022.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.032270552969286916
2022.0,[75] Nikel dan barang daripadanya,0.02747952625048538
2022.0,[40] Karet dan barang daripadanya,0.024854444643908534
2022.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.024331315023137668
