"tahun","kode_hs_deskripsi","total_berat_ekpor"
2021.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.7173043192976734
2021.0,"[26] Bijih logam, terak, dan abu",0.06497528562336433
2021.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.047206884940522616
2021.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.03249577948679215
2021.0,[72] Besi dan baja,0.022366779465365545
2021.0,[44] Kayu dan barang dari kayu; arang kayu,0.013585984707565548
2021.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.01286728290114127
2021.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.012753287215637631
2021.0,[38] Aneka produk kimia,0.009827611963009908
2021.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.008435579121748011
