"tahun","kode_hs_deskripsi","total_berat_ekpor"
2017.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.7817766322505907
2017.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.054799742651228826
2017.0,"[26] Bijih logam, terak, dan abu",0.04323896903191995
2017.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.02120233621147869
2017.0,[44] Kayu dan barang dari kayu; arang kayu,0.010141413767875609
2017.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.009582983171155038
2017.0,[72] Besi dan baja,0.00830694105590933
2017.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.007989605144706237
2017.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.007279141496869785
2017.0,[38] Aneka produk kimia,0.006782724898042956
