"tahun","kode_hs_deskripsi","total_berat_ekpor"
2016.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.7917908894187959
2016.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.06368136066242816
2016.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.022823467357889964
2016.0,"[26] Bijih logam, terak, dan abu",0.0132305684914467
2016.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.011549555119278994
2016.0,[44] Kayu dan barang dari kayu; arang kayu,0.011161326101950817
2016.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.008388505876541039
2016.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.0075967652291761036
2016.0,[38] Aneka produk kimia,0.006808260201946933
2016.0,[40] Karet dan barang daripadanya,0.006756253340212965
