"tahun","kode_hs_deskripsi","total_berat_ekpor"
2020.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.7730966817899704
2020.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.05605092669822408
2020.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.03409880935606513
2020.0,"[26] Bijih logam, terak, dan abu",0.025833867715792
2020.0,[72] Besi dan baja,0.015950085369188755
2020.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.00937547921840043
2020.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.009124829791724609
2020.0,[44] Kayu dan barang dari kayu; arang kayu,0.00859604257220052
2020.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.00846733332538279
2020.0,[38] Aneka produk kimia,0.007901719055757643
