"tahun","kode_hs_deskripsi","total_berat_ekpor"
2015.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.799663341928849
2015.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.06976941986488013
2015.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.01953725753097202
2015.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.011864282315087233
2015.0,[44] Kayu dan barang dari kayu; arang kayu,0.010546486011421977
2015.0,"[26] Bijih logam, terak, dan abu",0.009271713507245802
2015.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.008353112696065937
2015.0,[38] Aneka produk kimia,0.007755828456699375
2015.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.007128394050795694
2015.0,[40] Karet dan barang daripadanya,0.006333418339601783
