"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2020.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.1659419972308019
2020.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.15817101216459256
2020.0,[72] Besi dan baja,0.07278582435419635
2020.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.05907115217375233
2020.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.04468523279276723
2020.0,"[26] Bijih logam, terak, dan abu",0.035064604312463346
2020.0,[40] Karet dan barang daripadanya,0.033015317558653556
2020.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.03252713495675515
2020.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.027929504431337238
2020.0,[38] Aneka produk kimia,0.025206166773986724
